  0.9320   1         26.73       -0.02          0.34         21.38       -0.15
  0.9340   1         26.77       -0.02          0.32         21.37       -0.15
  0.9360   1         26.81       -0.03          0.30         21.36       -0.15
  0.9380   1         26.86       -0.03          0.28         21.35       -0.15
  0.9400   1         26.90       -0.03          0.27         21.34       -0.15
  0.9420   1         26.94       -0.03          0.25         21.33       -0.15
  0.9440   1         26.98       -0.03          0.23         21.32       -0.15
  0.9460   1         27.03       -0.03          0.21         21.31       -0.15
  0.9480   1         27.07       -0.03          0.20         21.31       -0.15
  0.9500   1         27.11       -0.03          0.18         21.30       -0.15
  0.9520   1         27.15       -0.03          0.16         21.29       -0.15
  0.9540   1         27.20       -0.03          0.14         21.28       -0.15
  0.9560   1         27.24       -0.03          0.13         21.27       -0.15
  0.9580   1         27.28       -0.03          0.11         21.26       -0.15
  0.9600   1         27.32       -0.03          0.09         21.25       -0.15
  0.9620   1         27.37       -0.03          0.08         21.24       -0.15
  0.9640   1         27.41       -0.04          0.06         21.23       -0.15
  0.9660   1         27.45       -0.04          0.05         21.22       -0.15
  0.9680   1         27.49       -0.04          0.03         21.21       -0.15
  0.9700   1         27.54       -0.04          0.01         21.20       -0.15
  0.9720   1         27.58       -0.04          0.00         21.19       -0.15
  0.9740   1         27.62       -0.04         -0.02         21.18       -0.15
  0.9760   1         27.66       -0.04         -0.03         21.17       -0.15
  0.9780   1         27.71       -0.04         -0.05         21.16       -0.15
  0.9800   1         27.75       -0.04         -0.06         21.15       -0.15
  0.9820   1         27.79       -0.04         -0.08         21.14       -0.15
  0.9840   1         27.83       -0.04         -0.09         21.13       -0.15
  0.9860   1         27.87       -0.04         -0.11         21.12       -0.15
  0.9880   1         27.92       -0.04         -0.12         21.11       -0.15
  0.9900   1         27.96       -0.04         -0.13         21.10       -0.15
  0.9920   1         28.00       -0.04         -0.15         21.09       -0.15
  0.9940   1         28.04       -0.04         -0.16         21.08       -0.15
  0.9960   1         28.09       -0.04         -0.18         21.07       -0.15
  0.9980   1         28.13       -0.04         -0.19         21.06       -0.15
  1.0000   1         28.17       -0.05         -0.20         21.05       -0.15
  1.0020   1         28.21       -0.05         -0.22         21.04       -0.15
  1.0040   1         28.25       -0.05         -0.23         21.03       -0.15
  1.0060   1         28.30       -0.05         -0.24         21.02       -0.15
  1.0080   1         28.34       -0.05         -0.25         21.01       -0.15
  1.0100   1         28.38       -0.05         -0.26         21.00       -0.16
  1.0120   1         28.42       -0.05         -0.28         20.99       -0.16
  1.0140   1         28.46       -0.05         -0.29         20.98       -0.16
  1.0160   1         28.51       -0.05         -0.30         20.97       -0.16
  1.0180   1         28.55       -0.05         -0.31         20.96       -0.16
  1.0200   1         28.59       -0.05         -0.32         20.95       -0.16
  1.0220   1         28.63       -0.05         -0.33         20.94       -0.16
  1.0240   1         28.67       -0.05         -0.34         20.93       -0.16
  1.0260   1         28.72       -0.05         -0.35         20.92       -0.16
  1.0280   1         28.76       -0.05         -0.36         20.91       -0.16
  1.0300   1         28.80       -0.05         -0.37         20.90       -0.16
  1.0320   1         28.84       -0.05         -0.38         20.89       -0.16
  1.0340   1         28.88       -0.05         -0.39         20.88       -0.16
  1.0360   1         28.92       -0.05         -0.40         20.87       -0.16
  1.0380   1         28.97       -0.05         -0.41         20.86       -0.16
  1.0400   1         29.01       -0.05         -0.42         20.85       -0.16
  1.0420   1         29.05       -0.05         -0.42         20.84       -0.16
  1.0440   1         29.09       -0.06         -0.43         20.83       -0.16
  1.0460   1         29.13       -0.06         -0.44         20.82       -0.16
  1.0480   1         29.17       -0.06         -0.45         20.81       -0.16
  1.0500   1         29.22       -0.06         -0.45         20.80       -0.16
  1.0520   1         29.26       -0.06         -0.46         20.79       -0.16
  1.0540   1         29.30       -0.06         -0.47         20.78       -0.16
  1.0560   1         29.34       -0.06         -0.47         20.77       -0.16
  1.0580   1         29.38       -0.06         -0.48         20.76       -0.16
  1.0600   1         29.42       -0.06         -0.49         20.75       -0.16
  1.0620   1         29.47       -0.06         -0.49         20.74       -0.16
  1.0640   1         29.51       -0.06         -0.50         20.73       -0.16
  1.0660   1         29.55       -0.06         -0.50         20.72       -0.16
  1.0680   1         29.59       -0.06         -0.51         20.71       -0.16
  1.0700   1         29.63       -0.06         -0.51         20.70       -0.16
  1.0720   1         29.67       -0.06         -0.52         20.69       -0.16
  1.0740   1         29.71       -0.06         -0.52         20.68       -0.16
  1.0760   1         29.76       -0.06         -0.52         20.67       -0.16
  1.0780   1         29.80       -0.06         -0.53         20.66       -0.16
  1.0800   1         29.84       -0.06         -0.53         20.65       -0.16
  1.0820   1         29.88       -0.06         -0.53         20.64       -0.16
  1.0840   1         29.92       -0.06         -0.54         20.63       -0.16
  1.0860   1         29.96       -0.06         -0.54         20.62       -0.16
  1.0880   1         30.00       -0.06         -0.54         20.61       -0.16
  1.0900   1         30.04       -0.06         -0.54         20.60       -0.16
  1.0920   1         30.09       -0.06         -0.55         20.59       -0.16
  1.0940   1         30.13       -0.06         -0.55         20.58       -0.16
  1.0960   1         30.17       -0.06         -0.55         20.57       -0.16
  1.0980   1         30.21       -0.06         -0.55         20.55       -0.16
  1.1000   1         30.25       -0.06         -0.55         20.54       -0.16
  1.1020   1         30.29       -0.06         -0.55         20.53       -0.16
  1.1040   1         30.33       -0.06         -0.55         20.52       -0.16
  1.1060   1         30.37       -0.07         -0.55         20.51       -0.16
  1.1080   1         30.41       -0.07         -0.55         20.50       -0.16
  1.1100   1         30.45       -0.07         -0.55         20.49       -0.16
  1.1120   1         30.50       -0.07         -0.55         20.48       -0.16
  1.1140   1         30.54       -0.07         -0.55         20.47       -0.16
  1.1160   1         30.58       -0.07         -0.55         20.46       -0.16
  1.1180   1         30.62       -0.07         -0.55         20.45       -0.16
  1.1200   1         30.66       -0.07         -0.55         20.44       -0.16
  1.1220   1         30.70       -0.07         -0.54         20.43       -0.16
  1.1240   1         30.74       -0.07         -0.54         20.42       -0.16
  1.1260   1         30.78       -0.07         -0.54         20.41       -0.16
  1.1280   1         30.82       -0.07         -0.54         20.40       -0.16
  1.1300   1         30.86       -0.07         -0.54         20.39       -0.16
  1.1320   1         30.90       -0.07         -0.53         20.38       -0.16
  1.1340   1         30.95       -0.07         -0.53         20.37       -0.16
  1.1360   1         30.99       -0.07         -0.53         20.36       -0.16
  1.1380   1         31.03       -0.07         -0.52         20.34       -0.16
  1.1400   1         31.07       -0.07         -0.52         20.33       -0.16
  1.1420   1         31.11       -0.07         -0.51         20.32       -0.16
  1.1440   1         31.15       -0.07         -0.51         20.31       -0.16
  1.1460   1         31.19       -0.07         -0.51         20.30       -0.16
  1.1480   1         31.23       -0.07         -0.50         20.29       -0.16
  1.1500   1         31.27       -0.07         -0.50         20.28       -0.16
  1.1520   1         31.31       -0.07         -0.49         20.27       -0.16
  1.1540   1         31.35       -0.07         -0.49         20.26       -0.16
  1.1560   1         31.39       -0.07         -0.48         20.25       -0.17
  1.1580   1         31.43       -0.07         -0.48         20.24       -0.17
  1.1600   1         31.47       -0.07         -0.47         20.23       -0.17
  1.1620   1         31.51       -0.07         -0.46         20.22       -0.17
  1.1640   1         31.55       -0.07         -0.46         20.21       -0.17
  1.1660   1         31.59       -0.07         -0.45         20.20       -0.17
  1.1680   1         31.63       -0.07         -0.45         20.19       -0.17
  1.1700   1         31.67       -0.07         -0.44         20.18       -0.17
  1.1720   1         31.72       -0.07         -0.43         20.16       -0.17
  1.1740   1         31.76       -0.07         -0.42         20.15       -0.17
  1.1760   1         31.80       -0.07         -0.42         20.14       -0.17
  1.1780   1         31.84       -0.07         -0.41         20.13       -0.17
  1.1800   1         31.88       -0.07         -0.40         20.12       -0.17
  1.1820   1         31.92       -0.07         -0.39         20.11       -0.17
  1.1840   1         31.96       -0.07         -0.39         20.10       -0.17
  1.1860   1         32.00       -0.07         -0.38         20.09       -0.17
  1.1880   1         32.04       -0.07         -0.37         20.08       -0.17
  1.1900   1         32.08       -0.07         -0.36         20.07       -0.17
  1.1920   1         32.12       -0.07         -0.35         20.06       -0.17
  1.1940   1         32.16       -0.07         -0.34         20.05       -0.17
  1.1960   1         32.20       -0.07         -0.34         20.04       -0.17
  1.1980   1         32.24       -0.07         -0.33         20.03       -0.17
  1.2000   1         32.28       -0.07         -0.32         20.01       -0.17
  1.2020   1         32.32       -0.07         -0.31         20.00       -0.17
  1.2040   1         32.36       -0.07         -0.30         19.99       -0.17
  1.2060   1         32.40       -0.07         -0.29         19.98       -0.17
  1.2080   1         32.44       -0.07         -0.28         19.97       -0.17
  1.2100   1         32.48       -0.07         -0.27         19.96       -0.17
  1.2120   1         32.52       -0.07         -0.26         19.95       -0.17
  1.2140   1         32.56       -0.07         -0.25         19.94       -0.17
  1.2160   1         32.60       -0.07         -0.24         19.93       -0.17
  1.2180   1         32.64       -0.07         -0.23         19.92       -0.17
  1.2200   1         32.68       -0.07         -0.22         19.91       -0.17
  1.2220   1         32.72       -0.07         -0.21         19.90       -0.17
  1.2240   1         32.76       -0.07         -0.19         19.89       -0.17
  1.2260   1         32.80       -0.07         -0.18         19.87       -0.17
  1.2280   1         32.84       -0.07         -0.17         19.86       -0.17
  1.2300   1         32.88       -0.07         -0.16         19.85       -0.17
  1.2320   1         32.92       -0.07         -0.15         19.84       -0.17
  1.2340   1         32.96       -0.07         -0.14         19.83       -0.17
  1.2360   1         32.99       -0.07         -0.13         19.82       -0.17
  1.2380   1         33.03       -0.07         -0.11         19.81       -0.17
  1.2400   1         33.07       -0.07         -0.10         19.80       -0.17
  1.2420   1         33.11       -0.07         -0.09         19.79       -0.17
  1.2440   1         33.15       -0.07         -0.08         19.78       -0.17
  1.2460   1         33.19       -0.07         -0.07         19.77       -0.17
  1.2480   1         33.23       -0.07         -0.05         19.75       -0.17
  1.2500   1         33.27       -0.07         -0.04         19.74       -0.17
  1.2520   1         33.31       -0.07         -0.03         19.73       -0.17
  1.2540   1         33.35       -0.07         -0.02         19.72       -0.17
  1.2560   1         33.39       -0.07          0.00         19.71       -0.17
  1.2580   1         33.43       -0.07          0.01         19.70       -0.17
  1.2600   1         33.47       -0.07          0.02         19.69       -0.17
  1.2620   1         33.51       -0.07          0.04         19.68       -0.17
  1.2640   1         33.55       -0.07          0.05         19.67       -0.17
  1.2660   1         33.59       -0.07          0.06         19.66       -0.17
  1.2680   1         33.63       -0.07          0.08         19.65       -0.17
  1.2700   1         33.67       -0.07          0.09         19.63       -0.17
  1.2720   1         33.70       -0.07          0.10         19.62       -0.17
  1.2740   1         33.74       -0.07          0.12         19.61       -0.17
  1.2760   1         33.78       -0.07          0.13         19.60       -0.17
  1.2780   1         33.82       -0.07          0.14         19.59       -0.17
  1.2800   1         33.86       -0.07          0.16         19.58       -0.17
  1.2820   1         33.90       -0.07          0.17         19.57       -0.17
  1.2840   1         33.94       -0.07          0.19         19.56       -0.17
